Property Name,Property Address,Latitude,Longitude,Rent Type,Style,Year Built,Vacancy %,Number Of Units,Number Of Studios Units,Studio Asking Rent/Unit,Studio Avg SF,Number Of 1 Bedrooms Units,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,Number Of 2 Bedrooms Units,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Number Of 3 Bedrooms Units,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Number Of 4 Bedrooms Units,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF
The Enclave,1440 N Locust Grove Rd,43.6175163,-116.3741023,Market,Garden,2019,5.8824,204,,,,,,,102,1901,1109,102,2176,1151,,,
Laguna Farms Quadruplex,16807 N Macabee Beach Ln,43.6165676,-116.5095914,Market,Townhome,2021,,4,,,,,,,,,,4,,,,,
Crimson Point Apartments,1832 N Madderlake Pl,43.5039450,-116.4359100,Market,Garden,2018,5.1948,154,,,,30,1618,850,64,1545,1043,60,1725,1217,,,
Tilian,616 Main St,43.6668927,-116.6886383,Market,Mid-Rise,2023,4.2254,142,37,1295,471,80,1434,586,25,1733,859,,,,,,
The Owyhee,1109 W Main St,43.6174300,-116.2074600,Market,Mid-Rise,2014,25.0000,36,4,1140,373,32,1552,677,,,,,,,,,
Huntington Apartments,173 E Mallard Dr,43.5947809,-116.1816854,Market,Garden,1991,7.9365,252,,,,156,1438,660,96,2038,1007,,,,,,
,4403 N Maple Grove Rd,43.6449640,-116.2947640,Market,,,,,,,,,,,,,,,,,,,
,909-957 S Maryland Ave,43.5500520,-116.5920632,Market,Garden,,,36,,,,,,,,,,,,,,,
Dorado Station,1505 N McKinney Ln,43.6182975,-116.2695083,Affordable,Mid-Rise,2027,,212,,,,55,,,132,,,25,,,,,
RidgeCrest Commons,6185 E Medalist Ln,43.6114601,-116.5177012,Market,Low-Rise,2017,4.6512,172,,,,24,1465,722,118,1581,987,30,1823,1171,,,
Quail Point Apartments,16080 N Merchant Way,43.6062943,-116.5896786,Market,Low-Rise,2020,4.2553,94,,,,19,1295,746,54,1445,960,21,1625,1270,,,
Millennium Lofts,Millennium Way,43.5898123,-116.3687922,Market,Mid-Rise,,,,,,,,,,,,,,,,,,
Ross Island at Moffatt Cove Apartments,651 N Moffatt Ave,43.8803167,-116.4883520,Market,Garden,2017,,36,,,,,,,20,,880,16,,1050,,,
Bristlecone Townhomes,5113 N Morninggale Way,43.6512848,-116.3433654,Market,Garden,2016,,28,,,,,,,28,,1000,,,,,,
Movado Estates,1757 Movado,43.5848397,-116.3427494,Market,Single-Family Home,2023,,76,,,,76,,,,,,,,,,,
LOCAL Boise,250 E Myrtle St,43.6077611,-116.1959169,Market,Mid-Rise,2022,8.3333,252,39,1406,432,50,1839,620,109,2216,817,,,,54,3711,819
Jules on 3rd,200 W Myrtle St,43.6095055,-116.1996771,Market,Mid-Rise,2021,5.2023,173,57,1335,484,74,1629,675,42,2088,960,,,,,,
Palisades,6017-6033 W Opohonga St,43.6178594,-116.2570944,Market,Low-Rise,2016,2.0833,48,,,,12,1150,716,36,1361,982,,,,,,
The Franklin,239 S Orchard St,43.6024465,-116.2444795,Market/Affordable,Mid-Rise,2024,1.9512,205,,,,66,1206,705,118,1431,1001,21,1538,1484,,,
Orchard Lofts,337-341 W Orchard Ave,43.5896668,-116.5833106,Market,Low-Rise,2019,11.1111,36,,,,18,1327,620,18,1480,870,,,,,,
Prospector Pointe Apartments,2507 Orogrande Ln,43.6642863,-116.6675866,Affordable,Garden,2025,27.8626,262,,,,60,550,650,142,659,770,60,760,1058,,,
4002 Overland Rd,4002 Overland Rd,43.5900550,-116.2310390,Market,Mid-Rise,2023,6.6667,15,,,,15,,550,,,,,,,,,
Seasons at Meridian,2700 E Overland Rd,43.5920293,-116.3608474,Market,Garden,2024,12.5000,360,15,1489,517,165,1597,707,150,2065,1140,30,2250,1334,,,
,1690 W Overland Rd,43.5915976,-116.4156070,Market,Low-Rise,2018,4.6875,64,,,,34,,696,30,,750,,,,,,
BB Living The Oaks,4990 N Palustris Ave,43.6494903,-116.4724254,Market,Townhome,2024,20.0000,185,,,,,,,,,,104,2435,1866,81,2708,2232
Cortland on the River,749 E Park Blvd,43.6037677,-116.1914191,Market,Mid-Rise,2021,8.0169,237,29,1464,587,126,1697,729,82,2095,1038,,,,,,
The District at Parkcenter,501 E Parkcenter Blvd,43.5928449,-116.1789628,Market,Garden,2016,3.8328,287,,,,194,1669,778,93,2149,1016,,,,,,
Altair,2743 W Peak Cloud Ln,43.6033928,-116.4274464,Market,Mid-Rise,2023,5.0000,240,42,1437,561,121,1569,643,77,1811,992,,,,,,
Cortland at Ten Mile,3800 W Perugia St,43.6075356,-116.4418329,Market,Garden,2016,5.9783,368,,,,108,1442,714,151,1673,1012,109,1808,1190,,,
Colson Place Townhomes,8716 W Pocono St,43.6771771,-116.2919187,Market,Low-Rise,2018,,28,,,,,,,28,,1250,,,,,,
Village Apartments,2651 N Records Ave,43.6292622,-116.3518998,Market,Mid-Rise,2024,19.9405,336,,,,200,1495,711,120,1795,954,16,2065,1223,,,
Verraso Village,2975 N Records Ave,43.6308010,-116.3500158,Market,Townhome,2018,2.0833,96,,,,,,,1,2128,1500,91,2450,1825,4,2582,2264
Bri at The Village,2233 N Records Way,43.6262783,-116.3499892,Market,Mid-Rise,2020,,166,,,,108,2365,889,58,2607,1138,,,,,,
The Regency at River Valley,3400 E River Valley St,43.6270863,-116.3525517,Market,Mid-Rise,2019,4.1667,336,,,,89,1356,756,186,1604,978,61,1853,1140,,,
Revel Eagle,745 E Riverside Dr,43.6873298,-116.3448617,Market,Low-Rise,2019,6.8493,146,18,3117,484,69,3851,610,59,4920,820,,,,,,
Eagle River Luxury Living,827 E Riverside Dr,43.6881256,-116.3431771,Market,Garden,2015,3.7500,80,,,,20,1399,790,40,1575,1100,20,1750,1192,,,
The Lakes at Eagle,2411 E Riverside Dr,43.6841044,-116.3243923,Market,Garden,2019,4.0000,250,,,,80,1406,743,140,1684,1107,30,2052,1274,,,
Reedhouse Apartments,1671 S Riverstone Ln,43.5915840,-116.1715350,Market,Garden,1985,3.1915,188,,,,116,1568,728,72,1812,930,,,,,,
Alante Homes at Spring Run,4317 Saylor Ln,43.6282746,-116.6467190,Market,Single-Family Home,2025,66.5236,233,,,,43,1555,705,58,1958,1319,132,2355,1249,,,
Selway Apartments,2552 W Selway Rapids Ln,43.6499820,-116.4245431,Market,Garden,2009,8.7719,171,,,,32,1458,735,115,1700,946,24,1962,1137,,,
High Point on Overland,1495 South Tech Ln,43.5913005,-116.4065413,Market,Garden,2015,6.8421,190,,,,54,1432,785,103,1647,1088,33,1917,1304,,,
Southside Townhomes,1010 Southside Blvd,43.5586175,-116.5307524,Market,Garden,2022,7.4468,188,,,,22,1524,986,94,1651,1155,72,1855,1191,,,
Autumn Leaf Apartments,1214 Southside Blvd,43.5559841,-116.5311464,Market,Garden,2024,15.0000,60,,,,15,1287,712,45,1576,1060,,,,,,
Cortland South Meridian,1871 S Spanish Fork Way,43.5894285,-116.4180820,Market,Garden,2020,4.7619,336,15,1349,546,159,1465,667,102,1792,1028,60,2110,1228,,,
The Station at Gateway South,4595 Stamm Ln,43.5935221,-116.5138905,Market,Mid-Rise,2017,6.8306,366,25,1487,421,106,1411,760,199,1547,1013,36,1756,1155,,,
Wilson Station Apartments,3922 W State St,43.6421848,-116.2374371,Affordable,Mid-Rise,2025,11.7647,102,23,1460,450,32,1560,638,27,1862,921,20,2151,1274,,,
Haven on State,5110 W State St,43.6524780,-116.2522880,Market,Mid-Rise,2024,,48,16,1225,532,16,1198,584,16,1475,923,,,,,,
The Edge @ State Street,6230 W State St,43.6618764,-116.2664415,Market,Low-Rise,2023,2.6667,75,,,,30,1375,720,45,1663,1072,,,,,,
Kensington at North Pointe,7570 W State St,43.6715660,-116.2808220,Market,Garden,2017,4.3344,323,,,,146,1447,733,131,1711,972,24,1994,1448,22,2407,1657
Townhomes at The Silo,9000 W State St,43.6775088,-116.2985649,Market,Townhome,2023,5.0000,60,,,,,,,42,1684,1102,18,1844,1220,,,
Wilson Creek,2631 Sunny Ridge Rd,43.5442961,-116.5643192,Market,Townhome,2022,4.0541,74,,,,,,,37,1549,1065,37,1650,1265,,,
The 240,188 S Umbria Hills Way,43.6033692,-116.4400707,Market,Garden,2021,9.5833,240,,,,48,1480,822,144,1629,1061,48,1745,1154,,,
